6,6,6,7,7,6,10,23,0,0,1,1,1,2,18,18,18,2,2,4,6,6,6,6,4
14,14,14,0,20,4,21,20,3,3,20,20,3,18,22,18,19,2,2,5,1,18,20,2,5
14,14,21,18,22,20,20,22,2,21,18,19,16,21,19,20,20,2,3,5,21,20,22,18,5
14,0,20,20,19,18,22,21,22,19,19,21,3,21,20,22,21,18,4,5,22,18,20,21,5
14,19,18,18,21,18,3,18,21,11,12,20,3,20,11,12,20,21,22,21,22,20,22,1,5
14,6,20,22,19,20,22,18,21,18,18,18,3,18,18,21,2,19,22,20,19,6,6,6,4
6,21,19,20,19,20,3,3,20,22,21,22,3,21,18,22,21,21,19,22,22,4,6,2,2
4,22,22,22,20,20,18,6,22,19,20,20,3,21,22,22,18,21,19,19,21,19,5,3,5
3,22,18,3,21,18,20,18,19,20,20,18,4,18,19,19,3,2,5,22,18,19,21,18,21
3,21,20,18,11,20,2,22,18,0,20,2,16,2,18,18,21,6,4,21,11,18,22,22,20
6,19,18,22,11,21,19,18,21,19,2,2,3,2,2,22,20,21,20,20,11,20,18,20,18
2,18,21,21,20,21,21,20,20,4,3,4,3,4,6,2,18,20,4,22,21,21,22,5,21
9,9,17,8,9,3,8,9,8,17,8,3,7,8,9,17,9,9,8,8,8,9,17,3,8
20,2,18,21,18,18,6,18,21,5,3,6,4,3,6,2,21,21,19,21,21,18,19,18,5
20,19,21,20,11,21,22,20,21,18,4,3,4,3,5,21,21,21,18,18,11,20,21,18,5
18,20,18,18,11,21,6,2,22,18,21,5,16,5,20,0,19,20,3,19,11,18,21,18,4
18,20,22,21,21,19,4,5,5,22,18,18,4,18,21,22,21,22,20,20,22,6,22,21,6
2,2,4,20,22,18,18,18,18,22,22,22,3,19,18,20,19,3,18,21,19,20,18,20,3
6,4,5,4,19,20,19,18,20,22,22,22,4,22,18,18,20,5,5,20,18,20,22,21,2
4,6,6,6,19,18,20,22,6,20,19,18,4,18,22,20,20,19,20,22,19,21,18,2,14
5,1,21,19,21,18,22,22,19,11,12,19,3,22,11,12,21,21,4,21,22,18,18,20,14
5,19,21,22,20,5,5,22,21,18,22,19,4,18,22,20,22,18,19,20,19,18,21,0,14
5,18,21,22,21,5,23,23,22,18,18,18,16,18,21,20,23,21,21,18,20,18,22,14,14
5,2,21,22,1,5,6,6,20,18,21,19,4,22,22,5,6,20,22,2,20,0,14,14,14
4,6,6,6,6,4,6,6,22,18,19,6,3,2,5,3,4,23,2,14,14,14,14,14,14
